timestamp,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
1570684578,0.1,0.2,0.3,0.01,0.02,0.03,0.001,0.002,0.003
1570684579,0.2,0.3,0.4,0.02,0.03,0.04,0.002,0.003,0.004
1570684580,6520.509,49.226697,-123.001859,-1.307898051,5.18594046,7.155639162,-0.161478826,-0.845942182,-0.222675266
1570684588,6523.504,49.226632,-123.001839,-0.776699589,6.182030533,8.300473857,-0.34325202,0.432715762,0.343060149
1570684590,6534.509,49.226649,-123.001877,1.654946634,4.397176526,7.494704369,0.872929129,-0.244070147,-0.195358815
1570684600,6544.504,49.226612,-123.001855,1.736836534,5.797785034,5.627826212,0.215766019,0.937360927,0.36143426
1570684601,6560.499,49.226551,-123.001657,1.900556733,6.081460849,7.95245511,1.131480164,0.258930871,-0.159687898
1570684606,6608.659,49.226116,-123.001871,-1.665233317,4.157906898,7.276674818,-0.117792185,-0.516181052,-0.534340225
1570684610,6611.404,49.226146,-123.00178,0.616290083,4.410784198,2.995749369,0.319164002,0.555937389,0.809743022
1570684611,6621.439,49.22622,-123.001717,-0.982891793,4.706180411,6.690340219,0.463493475,-0.35509365,-0.440479408
